#                     Product Characteristics Data File
#                     =================================
#
#                     (C) Crown Copyright 2012
#
#
#     Boiler efficiency tests are subject to a degree of measurement uncertainty.
#     Consequently small differences in the efficiency values calculated from them
#     are not significant and should not be relied on when comparing boilers.
#     Statistical analysis suggests that if two boilers have SEDBUK values 3   
#     percentage points apart then there is 95% confidence that the boiler with the
#     higher value is more efficient.
#
#
#
# *** Please be aware that the revision numbers on the control lines may not always
# *** be 1 more than the last file you received. There may have been additional
# *** increments in between.
#
$001,322,2012,04,03
#
#
$191,292,15,2011,12,16
# Table 191 (Fuel prices) follows ...
#
A3,0,2,1,1500,,2700,,42,,1,1,0.95,2012/Mar/06 16:19
T2,0,1,1,900,,,,12,,1,1,0.95,2012/Jan/25 09:42
W,0,2,1,800,,1200,,42,,1,1,0.95,2012/Jan/25 09:42
X,0,1,2,0,500,,,30,,1,1,0.95,2012/Jan/25 09:42
Y,0,2,1,585,,725,,20,,1,1,0.95,2012/Feb/20 09:10
#
# ... end of Table 181
#
#
$181,283,16,2012,3,6
# Table 181 (Indicative costs) follows ...
#
# range = 1: use low only. cost type  = 1: use A only.
#   1,2,3,4,5,6,7,8,9,10,11,12,13,14
# item,rec,range,cost type,A low,B low,A high,B high,Lifetime,GD cost,in GD,In-use SAP,In-use OA,min SAP
@,0,1,1,7.0,,,,,,,,,,2011/Sep/23 08:40
A,0,2,1,100,,350,,42,,1,1,0.65,0.95,2012/Jan/25 09:42
B,0,2,1,500,,1500,,42,500,1,1,0.65,0.95,2012/Jan/25 09:42
C,0,2,1,15,,30,,10,,1,1,0.85,0.45,2012/Mar/06 16:19
D,0,2,1,80,,120,,10,,1,1,0.85,0.45,2012/Jan/25 09:42
E,0,1,2,0,5,,,5,,0,1,1,0.45,2012/Jan/25 09:42
F,0,2,1,200,,400,,12,,1,1,0.9,0.95,2012/Jan/25 09:42
G,0,2,1,350,,450,,12,,1,1,0.5,0.95,2012/Jan/25 09:42
H,0,2,1,350,,450,,12,,1,1,0.5,0.95,2012/Jan/25 09:42
I,0,2,1,2200,,3000,,12,,1,1,0.75,0.95,2012/Jan/25 09:42
J,0,2,1,7000,,13000,,20,,1,1,0.9,0.95,2012/Mar/06 16:19
K,0,2,1,7000,,13000,,20,,1,1,0.9,0.95,2012/Mar/06 16:19
L,0,2,2,0,300,0,400,20,,1,1,0.9,0.95,2012/Jan/25 09:42
M,0,2,1,1250,,2500,,20,,1,1,0.9,0.95,2012/Jan/25 09:42
N,0,2,1,4000,,6000,,25,,1,1,1,0.95,2012/Jan/25 09:42
O,0,2,1,3300,,6500,,20,,1,1,0.85,0.95,2012/Jan/25 09:42
P,0,2,1,1000,,1500,,20,,1,1,0.85,0.95,2012/Jan/25 09:42
Q,0,2,1,4000,,14000,,36,,1,1,0.75,0.95,2012/Mar/06 16:19
R,0,2,1,3000,,7000,,12,,1,1,0.75,0.95,2012/Jan/25 09:42
S,0,2,1,3000,,7000,,12,,1,1,0.75,0.95,2012/Jan/25 09:42
T,0,2,1,3000,,7000,,12,,1,1,0.75,0.95,2012/Jan/25 09:42
U,0,2,1,9000,,14000,,25,,1,1,1,0.95,2012/Jan/25 09:42
V,0,2,1,1500,,4000,,10,,1,1,1,0.95,2012/Jan/25 09:42
A2,0,2,1,850,,1500,,20,,1,1,0.85,0.95,2012/Jan/25 09:42
A3,0,2,1,1500,,2700,,42,,1,1,0.75,0.95,2012/Mar/06 16:19
T2,0,1,1,900,,,,12,,1,1,0.9,0.95,2012/Jan/25 09:42
W,0,2,1,800,,1200,,42,,1,1,0.85,0.95,2012/Jan/25 09:42
X,0,1,2,0,500,,,30,,1,1,0.85,0.95,2012/Jan/25 09:42
Y,0,2,1,585,,725,,20,,1,1,0.9,0.95,2012/Feb/20 09:10
J2,0,2,1,7000,,13000,,20,,1,1,0.9,0.95,2012/Jan/07 14:31
Q2,0,2,1,4500,,15500,,36,,1,1,0.7,0.95,2012/Mar/06 16:19
Z1,0,2,1,6000,,10000,,20,,1,1,1,0.95,2012/Mar/06 16:19
Z2,0,2,1,6000,,10000,,20,,1,1,1,0.95,2012/Mar/06 16:19
Z3,0,1,1,5500,,,,15,,1,1,1,0.95,2012/Mar/06 16:19
Z4,0,2,1,9000,,17000,,20,,1,1,1,0.95,2012/Mar/06 16:19
Z5,0,2,1,9000,,17000,,20,,1,1,1,0.95,2012/Mar/06 16:19
#
# ... end of Table 181
#
#
$171,271,3,2011,6,3
# Table 171 (Postcodes) follows ...
#
# Area,District,Region,Country,Height,Wind
AB,10,16,2,90,5.5,2011/Feb/07 09:00
AB,11,16,2,90,5.5,2011/Feb/07 09:00
AB,12,16,2,97,5,2011/Feb/07 09:00
AB,13,16,2,90,5.5,2011/Feb/07 09:00
AB,14,16,2,75,5,2011/Feb/07 09:00
AB,15,16,2,100,5.5,2011/Feb/07 09:00
AB,16,16,2,100,5.5,2011/Feb/07 09:00
AB,21,16,2,100,5.5,2011/Feb/07 09:00
AB,22,16,2,80,5.5,2011/Feb/07 09:00
AB,23,16,2,90,6,2011/Feb/07 09:00
AB,24,16,2,100,5.5,2011/Feb/07 09:00
AB,25,16,2,100,5.5,2011/Feb/07 09:00
AB,30,16,2,90,5.5,2011/Feb/07 09:00
AB,31,16,2,120,5,2011/Feb/07 09:00
AB,32,16,2,120,5,2011/Feb/07 09:00
AB,33,16,2,200,4,2011/Feb/07 09:00
AB,34,16,2,250,4,2011/Feb/07 09:00
AB,35,16,2,300,4,2011/Feb/07 09:00
AB,36,16,2,320,4,2011/Feb/07 09:00
AB,37,16,2,360,4,2011/Feb/07 09:00
AB,38,16,2,200,4,2011/Feb/07 09:00
AB,39,16,2,120,5.5,2011/Feb/07 09:00
AB,41,16,2,70,5.5,2011/Feb/07 09:00
AB,42,16,2,50,5.5,2011/Feb/07 09:00
AB,43,16,2,40,5.5,2011/Feb/07 09:00
AB,44,16,2,50,5,2011/Feb/07 09:00
AB,45,16,2,90,5,2011/Feb/07 09:00
AB,51,16,2,250,4.5,2011/Feb/07 09:00
AB,52,16,2,140,4,2011/Feb/07 09:00
AB,53,16,2,90,5,2011/Feb/07 09:00
AB,54,16,2,220,4,2011/Feb/07 09:00
AB,55,16,2,300,4,2011/Feb/07 09:00
AB,56,16,2,90,5,2011/Feb/07 09:00
AB,99,16,2,90,5.5,2011/Feb/24 08:50
AB,*,16,2,100,5,2011/Feb/24 14:21
AL,1,1,1,100,5,2011/Feb/07 09:00
AL,2,1,1,80,4.5,2011/Feb/07 09:00
AL,3,1,1,120,4.5,2011/Feb/07 09:00
AL,4,1,1,100,4.5,2011/Feb/07 09:00
AL,5,1,1,120,4.5,2011/Feb/07 09:00
AL,6,1,1,100,4.5,2011/Feb/07 09:00
AL,7,1,1,75,4.5,2011/Feb/07 09:00
AL,8,1,1,90,4.5,2011/Feb/07 09:00
AL,9,1,1,100,4.5,2011/Feb/07 09:00
AL,10,1,1,90,4.5,2011/Feb/07 09:00
AL,*,1,1,100,4.5,2011/Feb/24 14:21
B,1,6,1,110,5,2011/Feb/07 09:00
B,2,6,1,110,5,2011/Feb/07 09:00
B,3,6,1,110,5,2011/Feb/07 09:00
B,4,6,1,110,5,2011/Feb/07 09:00
B,5,6,1,120,5,2011/Feb/07 09:00
B,6,6,1,100,5,2011/Feb/07 09:00
B,7,6,1,100,5,2011/Feb/07 09:00
B,8,6,1,100,5,2011/Feb/07 09:00
B,9,6,1,110,5,2011/Feb/07 09:00
B,10,6,1,110,5,2011/Feb/07 09:00
B,11,6,1,115,5,2011/Feb/07 09:00
B,12,6,1,120,5,2011/Feb/07 09:00
B,13,6,1,135,5,2011/Feb/07 09:00
B,14,6,1,150,5,2011/Feb/07 09:00
B,15,6,1,150,5,2011/Feb/07 09:00
B,16,6,1,150,5,2011/Feb/07 09:00
B,17,6,1,170,5,2011/Feb/07 09:00
B,18,6,1,130,5,2011/Feb/07 09:00
B,19,6,1,130,5,2011/Feb/07 09:00
B,20,6,1,110,5,2011/Feb/07 09:00
B,21,6,1,150,5,2011/Feb/07 09:00
B,22,6,1,150,5,2011/Feb/07 09:00
B,23,6,1,120,5,2011/Feb/07 09:00
B,24,6,1,100,5,2011/Feb/07 09:00
B,25,6,1,110,5,2011/Feb/07 09:00
B,26,6,1,100,5,2011/Feb/07 09:00
B,27,6,1,120,5,2011/Feb/07 09:00
B,28,6,1,140,5,2011/Feb/07 09:00
B,29,6,1,150,5,2011/Feb/07 09:00
B,30,6,1,150,5,2011/Feb/07 09:00
B,31,6,1,180,5,2011/Feb/07 09:00
B,32,6,1,180,5,2011/Feb/07 09:00
B,33,6,1,100,5,2011/Feb/07 09:00
B,34,6,1,95,5,2011/Feb/07 09:00
B,35,6,1,85,5,2011/Feb/07 09:00
B,36,6,1,100,5,2011/Feb/07 09:00
B,37,6,1,90,5,2011/Feb/07 09:00
B,38,6,1,170,5,2011/Feb/07 09:00
B,40,6,1,90,5,2011/Feb/07 09:00
B,42,6,1,110,5,2011/Feb/07 09:00
B,43,6,1,150,5,2011/Feb/07 09:00
B,44,6,1,140,5,2011/Feb/07 09:00
B,45,6,1,200,5,2011/Feb/07 09:00
B,46,6,1,90,5,2011/Feb/07 09:00
B,47,6,1,160,5,2011/Feb/07 09:00
B,48,6,1,150,5,2011/Feb/07 09:00
B,49,6,1,70,5,2011/Feb/07 09:00
B,50,6,1,40,5,2011/Feb/07 09:00
B,60,6,1,110,5,2011/Feb/07 09:00
B,61,6,1,110,5,2011/Feb/07 09:00
B,62,6,1,180,5,2011/Feb/07 09:00
B,63,6,1,120,5,2011/Feb/07 09:00
B,64,6,1,120,5,2011/Feb/07 09:00
B,65,6,1,190,5,2011/Feb/07 09:00
B,66,6,1,150,5,2011/Feb/07 09:00
B,67,6,1,180,5,2011/Feb/07 09:00
B,68,6,1,200,5,2011/Feb/07 09:00
B,69,6,1,150,5,2011/Feb/07 09:00
B,70,6,1,150,5,2011/Feb/07 09:00
B,71,6,1,140,5,2011/Feb/07 09:00
B,72,6,1,130,5,2011/Feb/07 09:00
B,73,6,1,130,5,2011/Feb/07 09:00
B,74,6,1,150,5,2011/Feb/07 09:00
B,75,6,1,140,5,2011/Feb/07 09:00
B,76,6,1,90,5,2011/Feb/07 09:00
B,77,6,1,80,5,2011/Feb/07 09:00
B,78,6,1,90,5,2011/Feb/07 09:00
B,79,6,1,80,5,2011/Feb/07 09:00
B,80,6,1,80,5,2011/Feb/07 09:00
B,90,6,1,140,5,2011/Feb/07 09:00
B,91,6,1,130,5,2011/Feb/07 09:00
B,92,6,1,110,5,2011/Feb/07 09:00
B,93,6,1,120,5,2011/Feb/07 09:00
B,94,6,1,140,5,2011/Feb/07 09:00
B,95,6,1,80,5,2011/Feb/07 09:00
B,96,6,1,100,5,2011/Feb/07 09:00
B,97,6,1,130,5,2011/Feb/07 09:00
B,98,6,1,90,5,2011/Feb/07 09:00
B,99,6,1,110,5,2011/Feb/24 08:50
B,*,6,1,110,5,2011/Feb/24 14:21
BA,1,5,1,100,5,2011/Feb/07 09:00
BA,2,5,1,90,5,2011/Feb/07 09:00
BA,3,5,1,150,5,2011/Feb/07 09:00
BA,4,5,1,140,5,2011/Feb/07 09:00
BA,5,5,1,40,5,2011/Feb/07 09:00
BA,6,5,1,40,5,2011/Feb/07 09:00
BA,7,5,1,80,5.5,2011/Feb/07 09:00
BA,8,5,1,110,5.5,2011/Feb/07 09:00
BA,9,5,1,100,5.5,2011/Feb/07 09:00
BA,10,5,1,90,5,2011/Feb/07 09:00
BA,11,5,1,110,5,2011/Feb/07 09:00
BA,12,5,1,140,5,2011/Feb/07 09:00
BA,13,5,1,60,5,2011/Feb/07 09:00
BA,14,5,1,50,5,2011/Feb/07 09:00
BA,15,5,1,90,5,2011/Feb/07 09:00
BA,16,5,1,30,5,2011/Feb/07 09:00
BA,20,5,1,50,5.5,2011/Feb/07 09:00
BA,21,5,1,70,5.5,2011/Feb/07 09:00
BA,22,5,1,60,5.5,2011/Feb/07 09:00
BA,*,5,1,100,5.5,2011/Feb/24 14:21
BB,1,7,1,150,5.5,2011/Feb/07 09:00
BB,2,7,1,150,5.5,2011/Feb/07 09:00
BB,3,7,1,180,5.5,2011/Feb/07 09:00
BB,4,7,1,220,5.5,2011/Feb/07 09:00
BB,5,7,1,150,5.5,2011/Feb/07 09:00
BB,6,7,1,100,5.5,2011/Feb/07 09:00
BB,7,7,1,100,5.5,2011/Feb/07 09:00
BB,8,7,1,170,5.5,2011/Feb/07 09:00
BB,9,7,1,150,5.5,2011/Feb/07 09:00
BB,10,7,1,160,5.5,2011/Feb/07 09:00
BB,11,7,1,170,5.5,2011/Feb/07 09:00
BB,12,7,1,120,5.5,2011/Feb/07 09:00
BB,18,7,1,150,5,2011/Feb/07 09:00
BB,94,7,1,150,5.5,2011/Feb/07 09:00
BB,*,7,1,150,5.5,2011/Feb/24 14:21
BD,1,11,1,110,4,2011/Feb/07 09:00
BD,2,11,1,150,4,2011/Feb/07 09:00
BD,3,11,1,150,4,2011/Feb/07 09:00
BD,4,11,1,160,4,2011/Feb/07 09:00
BD,5,11,1,230,4,2011/Feb/07 09:00
BD,6,11,1,230,4,2011/Feb/07 09:00
BD,7,11,1,200,4,2011/Feb/07 09:00
BD,8,11,1,140,4,2011/Feb/07 09:00
BD,9,11,1,150,4,2011/Feb/07 09:00
BD,10,11,1,150,4,2011/Feb/07 09:00
BD,11,11,1,150,4,2011/Feb/07 09:00
BD,12,11,1,150,4,2011/Feb/07 09:00
BD,13,11,1,300,4,2011/Feb/07 09:00
BD,14,11,1,290,4,2011/Feb/07 09:00
BD,15,11,1,240,4,2011/Feb/07 09:00
BD,16,11,1,160,4,2011/Feb/07 09:00
BD,17,11,1,200,4,2011/Feb/07 09:00
BD,18,11,1,190,4,2011/Feb/07 09:00
BD,19,11,1,80,4,2011/Feb/07 09:00
BD,20,11,1,160,4,2011/Feb/07 09:00
BD,21,11,1,260,4,2011/Feb/07 09:00
BD,22,11,1,250,4,2011/Feb/07 09:00
BD,23,10,1,300,4,2011/Feb/07 09:00
BD,24,10,1,300,4,2011/Feb/07 09:00
BD,97,11,1,110,4,2011/Feb/24 08:50
BD,98,11,1,110,4,2011/Feb/24 08:50
BD,99,11,1,110,4,2011/Feb/24 08:50
BD,*,11,1,150,4,2011/Feb/24 14:21
BH,1,3,1,15,5.5,2011/Feb/07 09:00
BH,2,3,1,20,5.5,2011/Feb/07 09:00
BH,3,3,1,40,5.5,2011/Feb/07 09:00
BH,4,3,1,20,5.5,2011/Feb/07 09:00
BH,5,3,1,10,5.5,2011/Feb/07 09:00
BH,6,3,1,15,5.5,2011/Feb/07 09:00
BH,7,3,1,20,5.5,2011/Feb/07 09:00
BH,8,3,1,20,5.5,2011/Feb/07 09:00
BH,9,3,1,30,5.5,2011/Feb/07 09:00
BH,10,3,1,30,5.5,2011/Feb/07 09:00
BH,11,3,1,35,5.5,2011/Feb/07 09:00
BH,12,3,1,40,5.5,2011/Feb/07 09:00
BH,13,3,1,15,5.5,2011/Feb/07 09:00
BH,14,3,1,20,5.5,2011/Feb/07 09:00
BH,15,3,1,20,5.5,2011/Feb/07 09:00
BH,16,3,1,50,5.5,2011/Feb/07 09:00
BH,17,3,1,15,5.5,2011/Feb/07 09:00
BH,18,3,1,60,5.5,2011/Feb/07 09:00
BH,19,3,1,50,6,2011/Feb/07 09:00
BH,20,3,1,20,6,2011/Feb/07 09:00
BH,21,3,1,30,5,2011/Feb/07 09:00
BH,22,3,1,20,5,2011/Feb/07 09:00
BH,23,3,1,20,5,2011/Feb/07 09:00
BH,24,3,1,25,5,2011/Feb/07 09:00
BH,25,3,1,35,5,2011/Feb/07 09:00
BH,31,3,1,40,5,2011/Feb/07 09:00
BH,*,3,1,20,5.5,2011/Feb/24 14:21
BL,0,7,1,160,5,2011/Feb/07 09:00
BL,1,7,1,140,5,2011/Feb/07 09:00
BL,2,7,1,140,5,2011/Feb/07 09:00
BL,3,7,1,120,5,2011/Feb/07 09:00
BL,4,7,1,110,5,2011/Feb/07 09:00
BL,5,7,1,100,5,2011/Feb/07 09:00
