#
# ... end of Table 102
#
#
$104,208,025,2012,04,03
# Table 104 (Gas and Oil Boilers) follows ...
#
800029,000066,2009/Oct/29 14:59,Aga,Rayburn,660K,,,2009,current,4,1,1,1,2,17.5,17.5,0.59,17.5,,84.2,85.3,73.6,,85.0,2,,201,1,1,75,0
800021,000066,2007/Jun/22 10:00,Aga,Rayburn,480 KB,,,1998,current,4,1,1,2,2,23.8,23.8,.170,23.77,,84,85.1,73.4,,85.0,2,,201,1,1,130,0
800031,000066,2009/Oct/29 14:59,Aga,Rayburn,680K,,,2009,current,4,1,1,1,2,23.5,23.5,0.82,23.5,,84,85.1,73.4,,84.9,2,,201,1,2,75,0
800019,000066,2007/Jun/22 09:59,Aga,Rayburn,460 KB,,,1998,current,4,1,1,2,2,17.6,17.6,0.156,17.58,,83.7,84.8,73.1,,84.8,2,,201,1,1,130,0
800015,000066,2007/Jul/09 17:08,Aga,Rayburn,460K,,,1998,current,4,1,1,1,2,17.6,17.6,0.156,17.58,,83.7,84.8,73.1,,84.8,2,,201,1,1,130,0
800038,000252,2010/Jul/12 15:46,Gazco,Redfyre,Central Heating 120,Oil,Null,2006,current,4,1,1,1,2,35.2,35.2,1.00,35.2,,83.6,84.7,73,,84.7,2,,201,1,1,805,200
800018,000066,2007/Oct/18 15:28,Aga,Rayburn,499K,,,1998,current,4,1,1,2,2,29.1,29.1,.198,29.073,,83.5,84.6,72.9,,84.6,2,,201,1,1,130,0
800022,000066,2007/Jun/22 10:00,Aga,Rayburn,499 KB,,,1998,current,4,1,1,2,2,29.1,29.1,.198,29.073,,83.5,84.6,72.9,,84.6,2,,201,1,1,130,0
800032,000066,2009/Oct/29 14:59,Aga,Rayburn,699K,,,2009,current,4,1,1,1,2,29.3,29.3,0.87,29.3,,83.3,84.4,72.7,,84.4,2,,201,1,1,75,0
800007,000064,2007/Jan/31 11:59,Waterford Stanley,Stanley,Brandon,80k,,1995,current,4,1,1,1,2,23.5,23.5,0.39,24.20,,83.1,84.2,72.5,,84.2,2,,201,1,1,70,0
800028,000242,2008/Sep/18 14:18,Esse,Esse,Oil Century,O-60,,2000,current,4,1,1,1,2,17.5,17.5,0.62,17.5,,82.5,83.6,71.9,,83.6,2,,201,1,1,,
800027,000242,2008/Sep/18 14:17,Esse,Esse,Oil Century,O-80,,2000,current,4,1,1,1,2,23.4,23.4,0.63,23.4,,82.3,83.4,71.7,,83.4,2,,201,1,1,,
800005,000064,2007/Jan/31 11:59,Waterford Stanley,Stanley,Brandon,60k,,2000,current,4,1,1,1,2,17.6,17.6,.185,18.1,,81.2,82.3,70.6,,82.3,2,,201,1,1,70,0
800006,000064,2007/Jan/31 11:59,Waterford Stanley,Stanley,Brandon,100k,,1995,current,4,1,1,1,2,29.3,29.3,0.160,29.65,,80.6,81.7,70,,81.7,2,,201,1,1,70,0
800026,000242,2008/Sep/18 14:17,Esse,Esse,Oil Century,O-106,,2000,current,4,1,1,1,2,29.3,29.3,0.39,29.3,,79.6,80.7,69,,80.7,2,,201,1,1,,
#
# ... end of Table 131
#
#
$141,241,007,2011,09,16
# Table 141 (Micro Cogeneration) as follows ...
#
040001,000005,Baxi,Baxi,Ecogen 24/1.0,,,2009,current,1,,2,2,24,24,,,2,2,2,1,33904,3004,3034,83.9,49.2,-2275,-143,0,0,0,3,12313,3004,0,75,49.2,-2074,-143,0,0,0,6,6156,3004,0,61,49.2,-1665,-143,0,0,0,10,3694,3004,0,53.6,49.2,-1249,-143,0,0,0,2010/Nov/03 13:31
040004,000267,Efficient Home Energy,EHE,Whispergen EU1,,,2010,current,1,,2,2,14,14,,,2,2,2,0.5,27002,2679,16488,80.3,62.1,-2089,-40,0,0,0,1,19958,2679,1786,81.2,62.1,-1638,-40,0,0,0,1.5,14429,2679,68,81.6,62.1,-1221,-40,0,0,0,4,5436,2679,0,73.7,62.1,-330,-40,0,0,0,2011/May/26 09:07
#
# ... end of Table 141
#
#
$142,242,004,2011,11,30
# Table 142 (Micro Cogeneration) as follows ...
#
040001,000005,2010/Sep/08 16:34,5.03,Baxi Heating UK Ltd,Baxi,Ecogen 24/1.0,,2009,current,1,2,2,1,3,,48.3,-0.146,,,24,24,11,2,7,0.5,83.5,-0.048,1,84.4,-0.074,1.5,82.4,-0.105,2,78.6,-0.131,3,71.5,-0.172,6,57.1,-0.214,10,56.5,-0.196
040009,000267,2011/Nov/30 09:55,5.03,Efficient Home Energy,EHE,Whispergen EU1A,,2011,current,1,2,2,1,3,,62.2,-0.066,,,12.5,12.5,11,2,7,0.5,79.9,-0.083,1,82,-0.091,1.5,82.3,-0.087,2,80.8,-0.077,3,76.2,-0.063,6,60.9,-0.067,10,59.1,-0.057
040005,000267,2011/May/26 09:06,5.03,Efficient Home Energy,EHE,Whispergen EU1,,2010,current,1,2,2,1,3,,61.1,-0.045,,,14,14,11,2,7,0.5,80.2,-0.074,1,82,-0.078,1.5,82.3,-0.072,2,80.8,-0.06,3,76.3,-0.043,6,60.3,-0.042,10,57.4,-0.036
#
# ... end of Table 142
#
#
$999
